disease,symptom
Chondritis,Symptoms from underlying cause
Chondritis,Swelling
Chondritis,Stiffness
Cerebral arteriosclerosis,Facial pain
Cerebral arteriosclerosis,High blood pressure
Cerebral arteriosclerosis,Headaches
Cerebral arteriosclerosis,Impaired vision
Gum cancer,Gum mass
Gum cancer,Bleeding from gums
Gum cancer,Gum swellings
Gum cancer,Gum pain
Wallenberg's syndrome,Nausea
Wallenberg's syndrome,Gait difficulties
Wallenberg's syndrome,Neuralgia of trunk
Wallenberg's syndrome,Impaired coordination
Wallenberg's syndrome,Double vision
Wallenberg's syndrome,Soft palate paralysis on affected side
Wallenberg's syndrome,Pharynx paralysis on affected side
Wallenberg's syndrome,Problems with balance
Wallenberg's syndrome,Vertigo
Wallenberg's syndrome,Drooping upper eyelids
Wallenberg's syndrome,Hiccups
Wallenberg's syndrome,Miosis
Wallenberg's syndrome,Loss of pain sensitivity
Wallenberg's syndrome,Lack of sensitivity to pain
Wallenberg's syndrome,Hypotonia on affected side
Wallenberg's syndrome,Facial neuralgia
Wallenberg's syndrome,Feeling of tilt
Wallenberg's syndrome,Loss of corneal reflex
Wallenberg's syndrome,Neuralgia of extremities
Wallenberg's syndrome,Swallowing difficulties
Wallenberg's syndrome,Facial muscle paralysis
Wallenberg's syndrome,Loss of taste
Wallenberg's syndrome,Impaired ability to control voluntary movements
Wallenberg's syndrome,Analgesia
Wallenberg's syndrome,Hoarse voice
Wallenberg's syndrome,Nystagmus
Wallenberg's syndrome,Paralysis of one side of vocal cords
Acrocyanosis,Normal pulses
Acrocyanosis,Blue and cold hands
Acrocyanosis,Condition exacerbated by cold
Acrocyanosis,Increased sweating
Acrocyanosis,Painless
Broken leg,Difficulty moving legs
Broken leg,Numb leg
Broken leg,Weak legs
Broken leg,Tingling in legs
Broken leg,Unable to move leg
Broken leg,Leg bleeding
Broken leg,Malaligned leg
Broken leg,Leg pain
Broken leg,Bruised legs
Broken leg,Swollen legs
Legionella dumofii infection,Nausea
Legionella dumofii infection,Loss of appetite
Legionella dumofii infection,Muscle aching
Legionella dumofii infection,Cough
Legionella dumofii infection,Mental changes
Legionella dumofii infection,Breathlessness
Legionella dumofii infection,Headaches
Legionella dumofii infection,Throat irritation
Legionella dumofii infection,Chest pain
Legionella dumofii infection,Lung inflammation
Legionella dumofii infection,Nose irritation
Legionella dumofii infection,Confusion
Legionella dumofii infection,Diarrhea
Legionella dumofii infection,Chills
Legionella dumofii infection,Lung irritation
Legionella dumofii infection,Blood sputum
Legionella dumofii infection,Muscle pain
Legionella dumofii infection,Sputum production
Legionella dumofii infection,Pain when breathing in
Legionella dumofii infection,Nose inflammation
Legionella dumofii infection,Throat inflammation
Legionella dumofii infection,Fever
Legionella dumofii infection,Cyanosis
Legionella feeleii infection,Nausea
Legionella feeleii infection,Loss of appetite
Legionella feeleii infection,Muscle aching
Legionella feeleii infection,Cough
Legionella feeleii infection,Mental changes
Legionella feeleii infection,Breathlessness
Legionella feeleii infection,Headaches
Legionella feeleii infection,Throat irritation
Legionella feeleii infection,Chest pain
Legionella feeleii infection,Lung inflammation
Legionella feeleii infection,Nose irritation
Legionella feeleii infection,Confusion
Legionella feeleii infection,Diarrhea
Legionella feeleii infection,Chills
Legionella feeleii infection,Lung irritation
Legionella feeleii infection,Blood sputum
Legionella feeleii infection,Muscle pain
Legionella feeleii infection,Sputum production
Legionella feeleii infection,Pain when breathing in
Legionella feeleii infection,Nose inflammation
Legionella feeleii infection,Throat inflammation
Legionella feeleii infection,Fever
Legionella feeleii infection,Cyanosis
Kidney damage -- glues,Kidney dysfunction
Kidney damage -- glues,Kidney damage
Kidney damage -- glues,Proteinuria
Kidney damage -- glues,Impaired electrolyte balance
Kidney damage -- glues,Increased blood urea level
Kidney damage -- glues,Enzymuria
Kidney damage -- glues,Impaired body water balance
Kidney damage -- glues,Tubular necrosis
Kidney damage -- glues,Increased hydrogen ion level in blood
Kidney damage -- glues,Increased blood electrolyte level
Kidney damage -- glues,Increased blood pressure
Rheumatism,Joint swelling and redness
Rheumatism,Depends on the underlying disorder
Rheumatism,Joint pain
East african trypanosomiasis,Symptoms of sleeping sickness
East african trypanosomiasis,Muscle aching
East african trypanosomiasis,Personality changes
East african trypanosomiasis,Walking difficulties
East african trypanosomiasis,Speaking difficulty
East african trypanosomiasis,Headaches
East african trypanosomiasis,Swollen lymph nodes
East african trypanosomiasis,Daytime sleepiness
East african trypanosomiasis,Irritability
East african trypanosomiasis,Slurred speech
East african trypanosomiasis,Extreme fatigue
East african trypanosomiasis,Chancre
East african trypanosomiasis,Fever
East african trypanosomiasis,Progressive confusion
East african trypanosomiasis,Red sore
East african trypanosomiasis,Insomnia at night
East african trypanosomiasis,Aching joints
East african trypanosomiasis,Seizures
East african trypanosomiasis,Skin rashes
"Hodgkin's disease, adult",Enlarged liver
"Hodgkin's disease, adult",High blood calcium level
"Hodgkin's disease, adult",Bone pain
"Hodgkin's disease, adult",Paralysis
"Hodgkin's disease, adult",Itchy skin
"Hodgkin's disease, adult",Night sweats
"Hodgkin's disease, adult",Unexplained weight loss
"Hodgkin's disease, adult",Breathing difficulties
"Hodgkin's disease, adult",Jaundice
"Hodgkin's disease, adult",Increased number of eosinophils in blood
"Hodgkin's disease, adult",Increased number of neutrophils in blood
"Hodgkin's disease, adult",Reduced blood phosphate level
"Hodgkin's disease, adult",Edema
"Hodgkin's disease, adult",Alcohol intolerance
"Hodgkin's disease, adult",Abnormal sensations
"Hodgkin's disease, adult",Brassy cough
"Hodgkin's disease, adult",Increased number of leukocytes in blood
"Hodgkin's disease, adult",Painless swollen lymph nodes
"Hodgkin's disease, adult",Reduced white blood cells
"Hodgkin's disease, adult",Pallor
"Hodgkin's disease, adult",Unexplained recurrent fevers
"Hodgkin's disease, adult",Low blood platelet level
"Hodgkin's disease, adult",Tendency to fracture easily
"Hodgkin's disease, adult",Shortness of breath
"Hodgkin's disease, adult",Paresthesis - if there is spinal cord involvement
Kidney damage -- fuels,Kidney dysfunction
Kidney damage -- fuels,Kidney damage
Kidney damage -- fuels,Proteinuria
Kidney damage -- fuels,Impaired electrolyte balance
Kidney damage -- fuels,Increased blood urea level
Kidney damage -- fuels,Enzymuria
Kidney damage -- fuels,Impaired body water balance
Kidney damage -- fuels,Tubular necrosis
Kidney damage -- fuels,Increased hydrogen ion level in blood
Kidney damage -- fuels,Increased blood electrolyte level
Kidney damage -- fuels,Increased blood pressure
Macrocytosis,Walking difficulties
Macrocytosis,Breathlessness
Macrocytosis,Sore tongue
Macrocytosis,Premature greying of hair
Macrocytosis,Visual disturbances
Macrocytosis,Poor memory
Macrocytosis,Cracked lips
Macrocytosis,Tingling in hands and feet
Macrocytosis,Depression
Macrocytosis,Impotence
Amyotrophic lateral sclerosis,Spasticity
Amyotrophic lateral sclerosis,Weak forearm muscles
Amyotrophic lateral sclerosis,Wasting of forearm muscles
Amyotrophic lateral sclerosis,Wasting of body muscles
Amyotrophic lateral sclerosis,Wasting of face muscles
Amyotrophic lateral sclerosis,Muscle cramps
Amyotrophic lateral sclerosis,Weak body muscles
Amyotrophic lateral sclerosis,Twitching
Amyotrophic lateral sclerosis,Weak leg muscles
Amyotrophic lateral sclerosis,Death
Amyotrophic lateral sclerosis,Progressive breathing problems due to weakness of breathing muscles
Amyotrophic lateral sclerosis,Muscle wasting
Amyotrophic lateral sclerosis,Breathing difficulties
Amyotrophic lateral sclerosis,Persistent fatigue
Amyotrophic lateral sclerosis,Speaking difficulty
Amyotrophic lateral sclerosis,Muscle wasting in hands
Amyotrophic lateral sclerosis,Falling
Amyotrophic lateral sclerosis,Slurred speech
Amyotrophic lateral sclerosis,Muscle weakness
Amyotrophic lateral sclerosis,Weak face muscles
Amyotrophic lateral sclerosis,Muscle wasting in legs
Amyotrophic lateral sclerosis,Weak hand muscles
Amyotrophic lateral sclerosis,Swallowing difficulties
Amyotrophic lateral sclerosis,Tripping
Amyotrophic lateral sclerosis,Muscle twitching
Amyotrophic lateral sclerosis,Loss of motor control in hands and arms
Hypovolemia,Reduced blood pressure
Hypovolemia,Tachycardia
Hypovolemia,Confusion
Hypovolemia,Blacking out
Hypovolemia,Decreased urine output
Hypovolemia,Faintness
Hypovolemia,Rapid breathing
Shift work sleep disorder,Headaches
Shift work sleep disorder,Insomnia
Shift work sleep disorder,Excessive sleepiness
Shift work sleep disorder,Lack of energy
Legionella jordanis infection,Nausea
Legionella jordanis infection,Loss of appetite
Legionella jordanis infection,Muscle aching
Legionella jordanis infection,Cough
Legionella jordanis infection,Mental changes
Legionella jordanis infection,Breathlessness
Legionella jordanis infection,Headaches
Legionella jordanis infection,Throat irritation
Legionella jordanis infection,Chest pain
Legionella jordanis infection,Lung inflammation
Legionella jordanis infection,Nose irritation
Legionella jordanis infection,Confusion
Legionella jordanis infection,Diarrhea
Legionella jordanis infection,Chills
Legionella jordanis infection,Lung irritation
Legionella jordanis infection,Blood sputum
Legionella jordanis infection,Muscle pain
Legionella jordanis infection,Sputum production
Legionella jordanis infection,Pain when breathing in
Legionella jordanis infection,Nose inflammation
Legionella jordanis infection,Throat inflammation
Legionella jordanis infection,Fever
Legionella jordanis infection,Cyanosis
Legionella nautarum infection,Nausea
Legionella nautarum infection,Loss of appetite
Legionella nautarum infection,Muscle aching
Legionella nautarum infection,Cough
Legionella nautarum infection,Mental changes
Legionella nautarum infection,Breathlessness
Legionella nautarum infection,Headaches
Legionella nautarum infection,Throat irritation
Legionella nautarum infection,Chest pain
Legionella nautarum infection,Lung inflammation
Legionella nautarum infection,Nose irritation
Legionella nautarum infection,Confusion
Legionella nautarum infection,Diarrhea
Legionella nautarum infection,Chills
Legionella nautarum infection,Lung irritation
Legionella nautarum infection,Blood sputum
Legionella nautarum infection,Muscle pain
Legionella nautarum infection,Sputum production
Legionella nautarum infection,Pain when breathing in
Legionella nautarum infection,Nose inflammation
Legionella nautarum infection,Throat inflammation
Legionella nautarum infection,Fever
Legionella nautarum infection,Cyanosis
Legionella moravica infection,Nausea
Legionella moravica infection,Loss of appetite
Legionella moravica infection,Muscle aching
Legionella moravica infection,Cough
Legionella moravica infection,Mental changes
Legionella moravica infection,Breathlessness
Legionella moravica infection,Headaches
Legionella moravica infection,Throat irritation
Legionella moravica infection,Chest pain
Legionella moravica infection,Lung inflammation
Legionella moravica infection,Nose irritation
Legionella moravica infection,Confusion
Legionella moravica infection,Diarrhea
Legionella moravica infection,Chills
Legionella moravica infection,Lung irritation
Legionella moravica infection,Blood sputum
Legionella moravica infection,Muscle pain
Legionella moravica infection,Sputum production
Legionella moravica infection,Pain when breathing in
Legionella moravica infection,Nose inflammation
Legionella moravica infection,Throat inflammation
Legionella moravica infection,Fever
Legionella moravica infection,Cyanosis
Legionella micdadei infection,Nausea
Legionella micdadei infection,Loss of appetite
Legionella micdadei infection,Muscle aching
Legionella micdadei infection,Cough
Legionella micdadei infection,Mental changes
Legionella micdadei infection,Breathlessness
Legionella micdadei infection,Headaches
Legionella micdadei infection,Throat irritation
Legionella micdadei infection,Chest pain
Legionella micdadei infection,Lung inflammation
Legionella micdadei infection,Nose irritation
Legionella micdadei infection,Confusion
Legionella micdadei infection,Diarrhea
Legionella micdadei infection,Chills
Legionella micdadei infection,Lung irritation
Legionella micdadei infection,Blood sputum
Legionella micdadei infection,Muscle pain
Legionella micdadei infection,Sputum production
Legionella micdadei infection,Pain when breathing in
Legionella micdadei infection,Nose inflammation
Legionella micdadei infection,Throat inflammation
Legionella micdadei infection,Fever
Legionella micdadei infection,Cyanosis
Legionella gormanii infection,Nausea
Legionella gormanii infection,Loss of appetite
Legionella gormanii infection,Muscle aching
Legionella gormanii infection,Cough
Legionella gormanii infection,Mental changes
Legionella gormanii infection,Breathlessness
Legionella gormanii infection,Headaches
Legionella gormanii infection,Throat irritation
Legionella gormanii infection,Chest pain
Legionella gormanii infection,Lung inflammation
Legionella gormanii infection,Nose irritation
Legionella gormanii infection,Confusion
Legionella gormanii infection,Diarrhea
Legionella gormanii infection,Chills
Legionella gormanii infection,Lung irritation
Legionella gormanii infection,Blood sputum
Legionella gormanii infection,Muscle pain
Legionella gormanii infection,Sputum production
Legionella gormanii infection,Pain when breathing in
Legionella gormanii infection,Nose inflammation
Legionella gormanii infection,Throat inflammation
Legionella gormanii infection,Fever
Legionella gormanii infection,Cyanosis
Legionella gratiana infection,Nausea
Legionella gratiana infection,Loss of appetite
Legionella gratiana infection,Muscle aching
Legionella gratiana infection,Cough
Legionella gratiana infection,Mental changes
Legionella gratiana infection,Breathlessness
Legionella gratiana infection,Headaches
Legionella gratiana infection,Throat irritation
Legionella gratiana infection,Chest pain
Legionella gratiana infection,Lung inflammation
Legionella gratiana infection,Nose irritation
Legionella gratiana infection,Confusion
Legionella gratiana infection,Diarrhea
Legionella gratiana infection,Chills
Legionella gratiana infection,Lung irritation
Legionella gratiana infection,Blood sputum
Legionella gratiana infection,Muscle pain
Legionella gratiana infection,Sputum production
Legionella gratiana infection,Pain when breathing in
Legionella gratiana infection,Nose inflammation
Legionella gratiana infection,Throat inflammation
Legionella gratiana infection,Fever
Legionella gratiana infection,Cyanosis
Legionella fallonii infection,Nausea
Legionella fallonii infection,Loss of appetite
Legionella fallonii infection,Muscle aching
Legionella fallonii infection,Cough
Legionella fallonii infection,Mental changes
Legionella fallonii infection,Breathlessness
Legionella fallonii infection,Headaches
Legionella fallonii infection,Throat irritation
Legionella fallonii infection,Chest pain
Legionella fallonii infection,Lung inflammation
Legionella fallonii infection,Nose irritation
Legionella fallonii infection,Confusion
Legionella fallonii infection,Diarrhea
Legionella fallonii infection,Chills
Legionella fallonii infection,Lung irritation
Legionella fallonii infection,Blood sputum
Legionella fallonii infection,Muscle pain
Legionella fallonii infection,Sputum production
Legionella fallonii infection,Pain when breathing in
Legionella fallonii infection,Nose inflammation
Legionella fallonii infection,Throat inflammation
Legionella fallonii infection,Fever
Legionella fallonii infection,Cyanosis
Citrullinemia,Hyperactivity
Citrullinemia,Restlessness
Citrullinemia,Increased blood ammonia level - type i
Citrullinemia,Lack of argininosuccinate in blood - type i
Citrullinemia,Increased citrulline levels - type i and ii
Citrullinemia,Headaches
Citrullinemia,Reduced energy - late onset form
Citrullinemia,Irritability
Citrullinemia,Confusion
Citrullinemia,Problems with balance
Citrullinemia,Loss of memory
Citrullinemia,Aggression
Citrullinemia,Impaired vision
Citrullinemia,Seizures
Citrullinemia,Increased ammonia level in body tissues
Citrullinemia,Abnormal behaviors
Citrullinemia,Listlessness
Citrullinemia,Incoordination
Citrullinemia,Reduced appetite
Arm fracture,Bruised arms
Arm fracture,Arm pain
Arm fracture,Crooked arm
Arm fracture,Tingling in arms
Arm fracture,Weak arms
Arm fracture,Swollen arm
Arm fracture,Arm bleeding
Arm fracture,Numb arm
Broken elbow,Elbow pain
Broken elbow,Tingling in arms
Broken elbow,Weak arms
Broken elbow,Bleeding elbow
Broken elbow,Difficulty moving elbow
Broken elbow,Swollen elbows
Broken elbow,Bruising around elbow
Broken elbow,Numb arm
Hypocalcemia,Lip paresthesias
Hypocalcemia,Tongue paresthesias
Hypocalcemia,Paresthesia
Hypocalcemia,Tetany
Hypocalcemia,Facial grimacing
Hypocalcemia,Foot paresthesias
Hypocalcemia,Muscle aches
Hypocalcemia,Finger paresthesias
Hypocalcemia,Low blood calcium level
Hypocalcemia,Painful muscle spasm of hands
Pneumocystic carinii pneumonia,Dyspnea at rest
Pneumocystic carinii pneumonia,Tachypnea
Pneumocystic carinii pneumonia,Nonproductive cough
Pneumocystic carinii pneumonia,Fever
Pneumocystic carinii pneumonia,Shortness of breath
Coagulopathy,Easy bruising
Coagulopathy,Minor cuts that continue to bleed
Coagulopathy,Internal bleeding following trauma
Coagulopathy,Spontaneous internal bleeding
Coagulopathy,Symptoms of underlying disorder
Septo-optic dysplasia,Short statures
Septo-optic dysplasia,Intellectual impairment
Septo-optic dysplasia,Reduced growth hormone levels
Septo-optic dysplasia,Muscle hypotonia
Septo-optic dysplasia,Small penis
Septo-optic dysplasia,Schizencephaly
Septo-optic dysplasia,Inward deviation of eyes
Septo-optic dysplasia,Psychomotor retardation
Septo-optic dysplasia,Diabetes insipidus
Septo-optic dysplasia,Abnormal development of the optic disk
Septo-optic dysplasia,Absence of a brain membrane - septum pellucidum
Septo-optic dysplasia,Amblyopia
Septo-optic dysplasia,Cross eyed
Septo-optic dysplasia,Reduced pituitary gland function
Septo-optic dysplasia,Jaundice
Septo-optic dysplasia,Exotropia
Septo-optic dysplasia,Cleft palate
Septo-optic dysplasia,Pupil dilation in response to light
Septo-optic dysplasia,Reduced antidiuretic hormone level
Septo-optic dysplasia,Lack of sense of smell
Septo-optic dysplasia,Underdeveloped optic nerves
Septo-optic dysplasia,Ear deformities
Septo-optic dysplasia,Agenesis of the septum pellucidum
Septo-optic dysplasia,Hypoplastic optic nerves
Septo-optic dysplasia,Reduced luteinizing hormone level
Septo-optic dysplasia,Forebrain development abnormalities
Septo-optic dysplasia,Low thyroid hormone level
Septo-optic dysplasia,Blindness both eyes
Septo-optic dysplasia,Impaired hormone production
Septo-optic dysplasia,Underdeveloped optic disks
Septo-optic dysplasia,Infundibulum
Septo-optic dysplasia,Hypothalamus dysfunction
Septo-optic dysplasia,Underdeveloped pituitary glands
Septo-optic dysplasia,Neonatal jaundice
Septo-optic dysplasia,Chiasm
Septo-optic dysplasia,Infant jaundice
Septo-optic dysplasia,Partial blindness
Septo-optic dysplasia,Syndactyly
Septo-optic dysplasia,Wide set eyes
Septo-optic dysplasia,Blindness in one eye
Septo-optic dysplasia,Pendular nystagmus
Septo-optic dysplasia,Mental retardation
Septo-optic dysplasia,Learning disabilities
Septo-optic dysplasia,Seizures
Septo-optic dysplasia,Visual impairments
Septo-optic dysplasia,Pituitary deficiencies
Septo-optic dysplasia,Nystagmus
Septo-optic dysplasia,Retarded growth
Septo-optic dysplasia,Hormonal problems
Legionella cherrii infection,Nausea
Legionella cherrii infection,Loss of appetite
Legionella cherrii infection,Muscle aching
Legionella cherrii infection,Cough
Legionella cherrii infection,Mental changes
Legionella cherrii infection,Breathlessness
Legionella cherrii infection,Headaches
Legionella cherrii infection,Throat irritation
Legionella cherrii infection,Chest pain
Legionella cherrii infection,Lung inflammation
Legionella cherrii infection,Nose irritation
Legionella cherrii infection,Confusion
Legionella cherrii infection,Diarrhea
Legionella cherrii infection,Chills
Legionella cherrii infection,Lung irritation
Legionella cherrii infection,Blood sputum
Legionella cherrii infection,Muscle pain
Legionella cherrii infection,Sputum production
Legionella cherrii infection,Pain when breathing in
Legionella cherrii infection,Nose inflammation
Legionella cherrii infection,Throat inflammation
Legionella cherrii infection,Fever
Legionella cherrii infection,Cyanosis
Legionella erythra infection,Nausea
Legionella erythra infection,Loss of appetite
Legionella erythra infection,Muscle aching
Legionella erythra infection,Cough
Legionella erythra infection,Mental changes
Legionella erythra infection,Breathlessness
Legionella erythra infection,Headaches
Legionella erythra infection,Throat irritation
Legionella erythra infection,Chest pain
Legionella erythra infection,Lung inflammation
Legionella erythra infection,Nose irritation
Legionella erythra infection,Confusion
Legionella erythra infection,Diarrhea
Legionella erythra infection,Chills
Legionella erythra infection,Lung irritation
Legionella erythra infection,Blood sputum
Legionella erythra infection,Muscle pain
Legionella erythra infection,Sputum production
Legionella erythra infection,Pain when breathing in
Legionella erythra infection,Nose inflammation
Legionella erythra infection,Throat inflammation
Legionella erythra infection,Fever
Legionella erythra infection,Cyanosis
Legionella waltersii infection,Nausea
Legionella waltersii infection,Loss of appetite
Legionella waltersii infection,Muscle aching
Legionella waltersii infection,Cough
Legionella waltersii infection,Mental changes
Legionella waltersii infection,Breathlessness
Legionella waltersii infection,Headaches
Legionella waltersii infection,Throat irritation
Legionella waltersii infection,Chest pain
Legionella waltersii infection,Lung inflammation
Legionella waltersii infection,Nose irritation
Legionella waltersii infection,Confusion
Legionella waltersii infection,Diarrhea
Legionella waltersii infection,Chills
Legionella waltersii infection,Lung irritation
Legionella waltersii infection,Blood sputum
Legionella waltersii infection,Muscle pain
Legionella waltersii infection,Sputum production
Legionella waltersii infection,Pain when breathing in
Legionella waltersii infection,Nose inflammation
Legionella waltersii infection,Throat inflammation
Legionella waltersii infection,Fever
Legionella waltersii infection,Cyanosis
Legionella gesstiana infection,Nausea
Legionella gesstiana infection,Loss of appetite
Legionella gesstiana infection,Muscle aching
Legionella gesstiana infection,Cough
Legionella gesstiana infection,Mental changes
Legionella gesstiana infection,Breathlessness
Legionella gesstiana infection,Headaches
Legionella gesstiana infection,Throat irritation
Legionella gesstiana infection,Chest pain
Legionella gesstiana infection,Lung inflammation
Legionella gesstiana infection,Nose irritation
Legionella gesstiana infection,Confusion
Legionella gesstiana infection,Diarrhea
Legionella gesstiana infection,Chills
Legionella gesstiana infection,Lung irritation
Legionella gesstiana infection,Blood sputum
Legionella gesstiana infection,Muscle pain
Legionella gesstiana infection,Sputum production
Legionella gesstiana infection,Pain when breathing in
Legionella gesstiana infection,Nose inflammation
Legionella gesstiana infection,Throat inflammation
Legionella gesstiana infection,Fever
Legionella gesstiana infection,Cyanosis
Legionella monrovica infection,Nausea
Legionella monrovica infection,Loss of appetite
Legionella monrovica infection,Muscle aching
Legionella monrovica infection,Cough
Legionella monrovica infection,Mental changes
Legionella monrovica infection,Breathlessness
Legionella monrovica infection,Headaches
Legionella monrovica infection,Throat irritation
Legionella monrovica infection,Chest pain
Legionella monrovica infection,Lung inflammation
Legionella monrovica infection,Nose irritation
Legionella monrovica infection,Confusion
Legionella monrovica infection,Diarrhea
Legionella monrovica infection,Chills
Legionella monrovica infection,Lung irritation
Legionella monrovica infection,Blood sputum
Legionella monrovica infection,Muscle pain
Legionella monrovica infection,Sputum production
Legionella monrovica infection,Pain when breathing in
Legionella monrovica infection,Nose inflammation
Legionella monrovica infection,Throat inflammation
Legionella monrovica infection,Fever
Legionella monrovica infection,Cyanosis
Legionella brunensis infection,Nausea
Legionella brunensis infection,Loss of appetite
Legionella brunensis infection,Muscle aching
Legionella brunensis infection,Cough
Legionella brunensis infection,Mental changes
Legionella brunensis infection,Breathlessness
Legionella brunensis infection,Headaches
Legionella brunensis infection,Throat irritation
Legionella brunensis infection,Chest pain
Legionella brunensis infection,Lung inflammation
Legionella brunensis infection,Nose irritation
Legionella brunensis infection,Confusion
Legionella brunensis infection,Diarrhea
Legionella brunensis infection,Chills
Legionella brunensis infection,Lung irritation
Legionella brunensis infection,Blood sputum
Legionella brunensis infection,Muscle pain
Legionella brunensis infection,Sputum production
Legionella brunensis infection,Pain when breathing in
Legionella brunensis infection,Nose inflammation
Legionella brunensis infection,Throat inflammation
Legionella brunensis infection,Fever
Legionella brunensis infection,Cyanosis
Legionella bozemanii infection,Nausea
Legionella bozemanii infection,Loss of appetite
Legionella bozemanii infection,Muscle aching
Legionella bozemanii infection,Cough
Legionella bozemanii infection,Mental changes
Legionella bozemanii infection,Breathlessness
Legionella bozemanii infection,Headaches
Legionella bozemanii infection,Throat irritation
Legionella bozemanii infection,Chest pain
Legionella bozemanii infection,Lung inflammation
Legionella bozemanii infection,Nose irritation
Legionella bozemanii infection,Confusion
Legionella bozemanii infection,Diarrhea
Legionella bozemanii infection,Chills
Legionella bozemanii infection,Lung irritation
Legionella bozemanii infection,Blood sputum
Legionella bozemanii infection,Muscle pain
Legionella bozemanii infection,Sputum production
Legionella bozemanii infection,Pain when breathing in
Legionella bozemanii infection,Nose inflammation
Legionella bozemanii infection,Throat inflammation
Legionella bozemanii infection,Fever
Legionella bozemanii infection,Cyanosis
Hairy cell leukemia,Easy bruising
Hairy cell leukemia,Enlarged liver
Hairy cell leukemia,Abnormal lymphocytic white blood cells with hair-like projections
Hairy cell leukemia,Reduced blood level of neutrophils
Hairy cell leukemia,Abdominal discomfort
Hairy cell leukemia,Lymph gland swelling
Hairy cell leukemia,Reduced blood platelet level
Hairy cell leukemia,Fever
Kidney damage -- aspirin,Kidney dysfunction
Kidney damage -- aspirin,Kidney damage
Kidney damage -- aspirin,Proteinuria
Kidney damage -- aspirin,Impaired electrolyte balance
Kidney damage -- aspirin,Increased blood urea level
Kidney damage -- aspirin,Enzymuria
Kidney damage -- aspirin,Impaired body water balance
Kidney damage -- aspirin,Tubular necrosis
Kidney damage -- aspirin,Increased hydrogen ion level in blood
Kidney damage -- aspirin,Increased blood electrolyte level
Kidney damage -- aspirin,Increased blood pressure
Kidney damage -- cadmium,Kidney dysfunction
Kidney damage -- cadmium,Kidney damage
Kidney damage -- cadmium,Proteinuria
Kidney damage -- cadmium,Impaired electrolyte balance
Kidney damage -- cadmium,Increased blood urea level
Kidney damage -- cadmium,Enzymuria
Kidney damage -- cadmium,Impaired body water balance
Kidney damage -- cadmium,Tubular necrosis
Kidney damage -- cadmium,Increased hydrogen ion level in blood
Kidney damage -- cadmium,Increased blood electrolyte level
Kidney damage -- cadmium,Increased blood pressure
Kidney damage -- dioxane,Kidney dysfunction
Kidney damage -- dioxane,Kidney damage
Kidney damage -- dioxane,Proteinuria
Kidney damage -- dioxane,Impaired electrolyte balance
Kidney damage -- dioxane,Increased blood urea level
Kidney damage -- dioxane,Enzymuria
Kidney damage -- dioxane,Impaired body water balance
Kidney damage -- dioxane,Tubular necrosis
Kidney damage -- dioxane,Increased hydrogen ion level in blood
Kidney damage -- dioxane,Increased blood electrolyte level
Kidney damage -- dioxane,Increased blood pressure
Kidney damage -- styrene,Kidney dysfunction
Kidney damage -- styrene,Kidney damage
Kidney damage -- styrene,Proteinuria
Kidney damage -- styrene,Impaired electrolyte balance
Kidney damage -- styrene,Increased blood urea level
Kidney damage -- styrene,Enzymuria
Kidney damage -- styrene,Impaired body water balance
Kidney damage -- styrene,Tubular necrosis
Kidney damage -- styrene,Increased hydrogen ion level in blood
Kidney damage -- styrene,Increased blood electrolyte level
Kidney damage -- styrene,Increased blood pressure
Kidney damage -- toluene,Kidney dysfunction
Kidney damage -- toluene,Kidney damage
Kidney damage -- toluene,Proteinuria
Kidney damage -- toluene,Impaired electrolyte balance
Kidney damage -- toluene,Increased blood urea level
Kidney damage -- toluene,Enzymuria
Kidney damage -- toluene,Impaired body water balance
Kidney damage -- toluene,Tubular necrosis
Kidney damage -- toluene,Increased hydrogen ion level in blood
Kidney damage -- toluene,Increased blood electrolyte level
Kidney damage -- toluene,Increased blood pressure
Kidney damage -- uranium,Kidney dysfunction
Kidney damage -- uranium,Kidney damage
Kidney damage -- uranium,Proteinuria
Kidney damage -- uranium,Impaired electrolyte balance
Kidney damage -- uranium,Increased blood urea level
Kidney damage -- uranium,Enzymuria
Kidney damage -- uranium,Impaired body water balance
Kidney damage -- uranium,Tubular necrosis
Kidney damage -- uranium,Increased hydrogen ion level in blood
Kidney damage -- uranium,Increased blood electrolyte level
Kidney damage -- uranium,Increased blood pressure
Skin conditions,Angioedema
Skin conditions,Oedema
Skin conditions,Irritation
Skin conditions,Skin swelling
Skin conditions,Wounds
Skin conditions,Urticaria
Skin conditions,Bruising
Skin conditions,Pruritus
Skin conditions,Skin inflammation
Skin conditions,Skin rashes
Skin conditions,Inflammation
Broken hand,Hand tingling
Broken hand,Numbness in hands
Broken hand,Swollen hands
Broken hand,Bruised hand
Broken hand,Misshapen hand
Broken hand,Hand bleeding
Broken hand,Weak hands
Broken hand,Hand pain
Proteinuria,Hand swelling
Proteinuria,Facial swelling
Proteinuria,High blood pressure
Proteinuria,Abdominal swelling
Proteinuria,Foamy urine
Proteinuria,Swelling in feet
Rectal cancer,Reduced stool width
Rectal cancer,Blood in stool
Rectal cancer,Excessive gas
Rectal cancer,Gastrointestinal bleeding
Rectal cancer,Constipations
Rectal cancer,Diarrhea
Rectal cancer,Abdominal bloating
Rectal cancer,Difficulty passing stool
Rectal cancer,Abdominal cramps
Rectal cancer,Altered bowel habits
Legionella busanensis infection,Nausea
